date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:24:57	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2019%20Jan%202024%2010:24:57%20GMT	https://app.surveoo.com/robots.txt		(from )
13:24:58	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2019%20Jan%202024%2010:24:57%20GMT	https://app.surveoo.com/	C:/Users/brian/Desktop/brin/brayo/servey/app.surveoo.com/index.html	(from )
13:24:58	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2019%20Jan%202024%2010:24:58%20GMT	https://app.surveoo.com/en/	C:/Users/brian/Desktop/brin/brayo/servey/app.surveoo.com/en/index.html	(from https://app.surveoo.com/)
13:24:59	26730/26730	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jan%202024%2010:24:58%20GMT	https://app.surveoo.com/en/login?	C:/Users/brian/Desktop/brin/brayo/servey/app.surveoo.com/en/logind41d.html	(from https://app.surveoo.com/en/)
13:25:01	552784/552784	---MCZ	200	added ('OK')	text/css	etag:W/%22644a533c-86f50%22	https://cdn-app.surveoo.com/assets/plugins/global/plugins.bundle.css?v=1	C:/Users/brian/Desktop/brin/brayo/servey/cdn-app.surveoo.com/assets/plugins/global/plugins.bundle3860.css	(from https://app.surveoo.com/en/login?)
13:25:02	2504/2504	---MCZ	200	added ('OK')	text/css	etag:W/%225eb3112e-9c8%22	https://cdn-app.surveoo.com/assets/plugins/custom/prismjs/prismjs.bundle.css?v=1	C:/Users/brian/Desktop/brin/brayo/servey/cdn-app.surveoo.com/assets/plugins/custom/prismjs/prismjs.bundle3860.css	(from https://app.surveoo.com/en/login?)
13:25:03	4056/4056	---MCZ	200	added ('OK')	text/css	etag:W/%226071e89c-fd8%22	https://cdn-app.surveoo.com/assets/css/themes/layout/header/base/light.css	C:/Users/brian/Desktop/brin/brayo/servey/cdn-app.surveoo.com/assets/css/themes/layout/header/base/light.css	(from https://app.surveoo.com/en/login?)
13:25:03	1767081/1767081	---MCZ	200	added ('OK')	text/css	etag:W/%2261d8a0a2-1af6a9%22	https://cdn-app.surveoo.com/assets/css/style.css?v=1	C:/Users/brian/Desktop/brin/brayo/servey/cdn-app.surveoo.com/assets/css/style3860.css	(from https://app.surveoo.com/en/login?)
13:25:04	42849/42849	---MCZ	200	added ('OK')	text/css	etag:W/%226071e89e-a761%22	https://cdn-app.surveoo.com/assets/css/themes/layout/header/menu/light.css	C:/Users/brian/Desktop/brin/brayo/servey/cdn-app.surveoo.com/assets/css/themes/layout/header/menu/light.css	(from https://app.surveoo.com/en/login?)
13:25:04	2098/2098	---MCZ	200	added ('OK')	text/css	etag:W/%226071e876-832%22	https://cdn-app.surveoo.com/assets/css/themes/layout/brand/dark.css	C:/Users/brian/Desktop/brin/brayo/servey/cdn-app.surveoo.com/assets/css/themes/layout/brand/dark.css	(from https://app.surveoo.com/en/login?)
13:25:04	60074/60074	---MCZ	200	added ('OK')	text/css	etag:W/%226071e87c-eaaa%22	https://cdn-app.surveoo.com/assets/css/themes/layout/aside/dark.css	C:/Users/brian/Desktop/brin/brayo/servey/cdn-app.surveoo.com/assets/css/themes/layout/aside/dark.css	(from https://app.surveoo.com/en/login?)
13:25:05	5914/5914	---MCZ	200	added ('OK')	text/css	etag:W/%22643ed04c-171a%22	https://cdn-app.surveoo.com/assets/css/custom.css?v=1	C:/Users/brian/Desktop/brin/brayo/servey/cdn-app.surveoo.com/assets/css/custom3860.css	(from https://app.surveoo.com/en/login?)
13:25:05	9120/9120	---MCZ	200	added ('OK')	image/png	etag:W/%22646cbdfb-23a0%22	https://cdn-app.surveoo.com/assets/icons/apple-touch-icon.png	C:/Users/brian/Desktop/brin/brayo/servey/cdn-app.surveoo.com/assets/icons/apple-touch-icon.png	(from https://app.surveoo.com/en/login?)
13:25:05	1923/1923	---MCZ	200	added ('OK')	image/png	etag:W/%22646cbdfc-783%22	https://cdn-app.surveoo.com/assets/icons/favicon-32x32.png	C:/Users/brian/Desktop/brin/brayo/servey/cdn-app.surveoo.com/assets/icons/favicon-32x32.png	(from https://app.surveoo.com/en/login?)
13:25:05	1506/1506	---MCZ	200	added ('OK')	image/png	etag:W/%22646cbdfc-5e2%22	https://cdn-app.surveoo.com/assets/icons/favicon-16x16.png	C:/Users/brian/Desktop/brin/brayo/servey/cdn-app.surveoo.com/assets/icons/favicon-16x16.png	(from https://app.surveoo.com/en/login?)
13:25:05	922/922	---MCZ	200	added ('OK')	text/css	etag:W/%226071e875-39a%22	https://cdn-app.surveoo.com/assets/css/pages/users/login-3.css	C:/Users/brian/Desktop/brin/brayo/servey/cdn-app.surveoo.com/assets/css/pages/users/login-3.css	(from https://app.surveoo.com/en/login?)
13:25:06	244652/244652	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225e8712d6-3bbac%22	https://cdn-app.surveoo.com/assets/media/bg/bg-3.jpg	C:/Users/brian/Desktop/brin/brayo/servey/cdn-app.surveoo.com/assets/media/bg/bg-3.jpg	(from https://app.surveoo.com/en/login?)
13:25:07	34321/34321	---MCZ	200	added ('OK')	application/javascript	etag:W/%225eb3112e-8611%22	https://cdn-app.surveoo.com/assets/plugins/custom/prismjs/prismjs.bundle.js	C:/Users/brian/Desktop/brin/brayo/servey/cdn-app.surveoo.com/assets/plugins/custom/prismjs/prismjs.bundle.js	(from https://app.surveoo.com/en/login?)
13:25:08	343338/343338	---MCZ	200	added ('OK')	application/javascript	etag:W/%226083ea06-53d2a%22	https://cdn-app.surveoo.com/assets/js/scripts.bundle.js	C:/Users/brian/Desktop/brin/brayo/servey/cdn-app.surveoo.com/assets/js/scripts.bundle.js	(from https://app.surveoo.com/en/login?)
13:25:09	884/884	---MC-	200	added ('OK')	text/javascript	date:Fri,%2019%20Jan%202024%2010:25:09%20GMT	https://www.google.com/recaptcha/api.js?render=6LeJQ8UUAAAAAPUu-20Sj8ci98Z5Ga7GBX8ttu9z	C:/Users/brian/Desktop/brin/brayo/servey/www.google.com/recaptcha/api2dd0.js	(from https://app.surveoo.com/en/login?)
13:25:10	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2019%20Jan%202024%2010:25:09%20GMT	https://app.surveoo.com/?welcome	C:/Users/brian/Desktop/brin/brayo/servey/app.surveoo.com/index40be.html	(from https://app.surveoo.com/en/login?)
13:25:11	10698/10698	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225eb3112e-29ca%22	https://app.surveoo.com/assets/plugins/global/fonts/keenthemes-icons/Ki.eot	C:/Users/brian/Desktop/brin/brayo/servey/app.surveoo.com/assets/plugins/global/fonts/keenthemes-icons/Ki.eot	(from https://cdn-app.surveoo.com/assets/plugins/global/plugins.bundle.css?v=1)
13:25:11	10698/10698	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225eb3112e-29ca%22	https://app.surveoo.com/assets/plugins/global/fonts/keenthemes-icons/Ki.eot?	C:/Users/brian/Desktop/brin/brayo/servey/app.surveoo.com/assets/plugins/global/fonts/keenthemes-icons/Kid41d.eot	(from https://cdn-app.surveoo.com/assets/plugins/global/plugins.bundle.css?v=1)
13:25:11	5628/5628	---M--	200	added ('OK')	application/font-woff	etag:%225eb3112e-15fc%22	https://app.surveoo.com/assets/plugins/global/fonts/keenthemes-icons/Ki.woff	C:/Users/brian/Desktop/brin/brayo/servey/app.surveoo.com/assets/plugins/global/fonts/keenthemes-icons/Ki.woff	(from https://cdn-app.surveoo.com/assets/plugins/global/plugins.bundle.css?v=1)
13:25:11	3615207/3615207	---MCZ	200	added ('OK')	application/javascript	etag:W/%225eb31130-3729e7%22	https://cdn-app.surveoo.com/assets/plugins/global/plugins.bundle.js	C:/Users/brian/Desktop/brin/brayo/servey/cdn-app.surveoo.com/assets/plugins/global/plugins.bundle.js	(from https://app.surveoo.com/en/login?)
13:25:13	10520/10520	---M--	200	added ('OK')	application/octet-stream	etag:%225eb3112e-2918%22	https://app.surveoo.com/assets/plugins/global/fonts/keenthemes-icons/Ki.ttf	C:/Users/brian/Desktop/brin/brayo/servey/app.surveoo.com/assets/plugins/global/fonts/keenthemes-icons/Ki.ttf	(from https://cdn-app.surveoo.com/assets/plugins/global/plugins.bundle.css?v=1)
13:25:15	52385/52385	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225eb3112e-cca1%22	https://app.surveoo.com/assets/plugins/global/fonts/keenthemes-icons/Ki.svg	C:/Users/brian/Desktop/brin/brayo/servey/app.surveoo.com/assets/plugins/global/fonts/keenthemes-icons/Ki.svg	(from https://cdn-app.surveoo.com/assets/plugins/global/plugins.bundle.css?v=1)
13:25:15	17342/17342	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225eb3112e-43be%22	https://app.surveoo.com/assets/plugins/global/fonts/summernote/summernote.eot?1d9aeaaff0a8939558a45be6cd52cd4c	C:/Users/brian/Desktop/brin/brayo/servey/app.surveoo.com/assets/plugins/global/fonts/summernote/summernote64fe.eot	(from https://cdn-app.surveoo.com/assets/plugins/global/plugins.bundle.css?v=1)
